--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CMIP5
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Date last modified: 09/23/22
Contact: nlutsko@ucsd.edu

SW cloud feedbacks and  F1−140  come from Zelinka et al (2020) (i.e., Mark's Github page),  F1−20  come from Dong et al (2020), F_fix and \Delta CRE come from Kamae and Watanabe (2012). The cloud adjustments were calculated following method of Zelinka et al. (2013). Note that missing values are given a value of 100.

MODEL	F_150	F_20	F_fix	Lambda_CL	Lambda_LWCL	Lambda_SWCL	DeltaCRE	netClAdj	SWClAdj	LWClAdj	IRF	IRF2
ACCESS1.0	2.94	3.56	100.	0.4	0.33	0.07	100. 	100.	100.	100.	100.	100.
ACCESS1.3	2.88	3.42	100.	0.59	0.11	0.48	100.	100.	100.	100.	100.	100.
BCC-CSM1.1	3.24	3.78	100.	0.23	0.38	-0.15	100.	100.	100.	100.	100.	100.
BCC-CSM1.1-M	3.43	3.85	100.	0.34	0.36	-0.02	100.	100.	100.	100.	100.	100.
CanESM2	3.81	4.18	3.67	0.45	0.74	-0.29	-0.02	0.63	0.53	0.10	2.65	2.87
CCSM4	3.48	4.08	4.42	0.18	0.26	-0.09	0.19	0.96	0.86	0.10	100.	2.76
CNRM-CM5	3.69	3.58	3.93	0.10	0.31	-0.2	-0.0	100.	100.	100.	100.	100.
CSIRO-Mk3	2.60	3.55	3.10	0.59	0.04	0.55	-0.73	100.	100.	100.	100.	2.87
GFDL-CM3	3.01	3.70	100.	0.83	0.23	0.60	100.	100.	100.	100.	100.	2.45
GFDL-ESM2G	2.99	3.50	100.	0.18	0.58	-0.40	100.	100.	100.	100.	100.	100.
GFDL-ESM2M	3.35	3.58	100.	0.07	0.56	-0.49	100.	100.	100.	100.	100.	100.
GISS-E2-H	3.82	4.11	100.	-0.19	0.54	-0.72	100.	100.	100.	100.	100.	100.
GISS-E2-R	3.73	4.64	100.	-0.19	0.61	-0.8	100.	100.	100.	100.	100.	100.
HadGEM2-ES	2.91	3.33	3.50	0.64	0.36	0.29	-0.06	0.37	0.50	-0.13	1.6	2.78
INM-CM4	2.97	3.06	3.12	0.18	0.20	-0.02	-0.57	100.	100.	100.	2.25	2.50
IPSL-CM5A-LR	3.10	3.36	3.25	1.12	0.51	0.61	-0.28	-0.05	0.79	-0.83	2.26	2.25
IPSL-CM5A-MR	3.31	3.50	100.	1.19	0.57	0.62	100.	100.	100.	100.	2.20	100.
IPSL-CM5B-LR	2.65	3.03	100.	0.57	0.22	0.35	100.	100.	100.	100.	100.	100.
MIROC5	4.16	4.38	3.97	-0.12	0.26	-0.38	-0.21	0.61	0.77	-0.16	2.05	2.81
MPI-ESM-LR	4.10	4.58	4.31	0.36	0.51	-0.16	0.10	100.	100.	100.	100.	100.
MPI-ESM-MR	4.11	4.68	4.30	0.40	0.47	-0.07	0.12	100.	100.	100.	100.	3.06
MPI-ESM-P	4.27	4.91	4.30	0.31	0.53	-0.21	0.11	100.	100.	100.	100.	100.
MRI-CGCM3	3.20	3.60	3.60	0.21	-0.03	0.25	-0.42	0.06	0.12	-0.06	100.	2.62
NorESM1-M	3.16	3.77	3.48	0.22	0.24	-0.02	0.04	100.	100.	100.	100.	2.78
