--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CMIP6
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Date last modified: 09/23/22
Contact: nlutsko@ucsd.edu

SW cloud feedbacks and  F1−140  come from Zelinka et al (2020) (i.e., Mark's Github page),  F1−20  come from Dong et al (2020). The cloud adjustments were calculated following method of Zelinka et al. (2013). Note that missing values are given a value of 100.

MODEL	F_150	F_20	F_fix	Lambda_CL	Lambda_LWCL	Lambda_SWCL	netClAdj	SWClAdj	LWClAdj	IRF
ACCESS-CM2	3.43	4.12	3.97	0.76	-0.20	0.96	0.70	100.	100.	2.16
ACCESS-ESM1.5	2.83	3.50	100.	0.56	0.13	0.43	100.	100.	100.	100.
BCC-CSM2-MR	3.11	3.59	100.	0.51	0.35	0.16	100.	100.	100.	100.
BCC-ESM	3.01	3.47	100.	0.52	0.50	0.02	100.	100.	100.	100.
CAMS-CSM1.0	4.17	4.33	100.	-0.36	0.36	-0.72	100.	100.	100.	100.
CESM2-WACCM	3.30	4.05	100.	1.17	0.12	1.05	100.	100.	100.	100.
CESM2	3.27	4.18	4.45	0.96	0.17	0.79	1.07	1.19	0.13	2.25
CNRM-CM6.1	3.64	3.95	4.00	0.55	0.57	-0.02	0.22	0.26	-0.13	2.16
CNRM-ESM2.1	2.97	2.79	3.96	0.56	0.53	0.03	0.12	0.13	-0.05	2.80
CanESM5	3.68	3.75	3.80	0.80	0.82	-0.02	0.47	0.71	-0.2	2.82
E3SM-1.0	3.33	3.68	100.	0.94	0.18	0.75	100.	100.	100.	100.
EC-Earth3-Veg	3.22	4.00	100.	0.29	0.27	0.02	100.	100.	100.	100.
EC-Earth3	3.37	4.00	4.05	0.31	0.26	0.05	100.	100.	100.	100.
GFDL-CM4	3.19	4.23	4.22	0.56	0.53	0.03	0.56	0.76	-0.24	2.64
GFDL-ESM4	3.77	3.69	3.87	0.44	0.59	-0.15	0.62	100.	100.	2.06
GISS-E2-1-G	3.95	4.00	3.67	0.00	0.64	-0.63	0.12	100.	100.	2.35
GISS-E2-1-H	3.53	3.72	100.	-0.03	0.50	-0.53	100.	100.	100.	100.
HadGEM3-GC31-LL	3.49	3.87	4.05	0.79	-0.19	0.98	0.74	1.07	-0.29	2.22
INM-CM4.8	2.70	3.13	100.	-0.13	0.06	-0.19	100.	100.	100.	100.
INM-CM5.0	2.92	3.14	100.	-0.11	0.00	-0.11	100.	100.	100.	100.
IPSL-CM6A-LR	3.58	3.90	4.00	0.38	0.23	0.14	0.47	0.84	-0.51	2.47
MIROC-ES2L	4.11	3.98	100.	-0.02	0.33	-0.35	100.	100.	100.	100.
MIROC6	3.65	3.65	3.66	0.12	0.26	-0.13	0.35	0.67	-0.19	2.25
MPI-ESM1-2-LR	4.22	100.	4.17	0.12	0.79	-0.68	0.70	100.	100.	2.31
MPI-ESM1-2-HR	3.65	4.18	100.	0.20	0.61	-0.41	100.	100.	100.	100.
MRI-ESM2-0	3.43	3.99	3.83	0.38	0.26	0.12	0.29	0.30	-0.03	2.47
NESM3	3.73	4.91	100.	0.38	0.53	-0.15	100.	100.	100.	100.
NORESM2-LM	3.43	4.61	4.07	0.36	0.15	0.21	0.72	100.	100.	2.20
NORESM2-MM	3.73	100.	4.19	0.43	0.14	0.30	0.78	100.	100.	2.25
SAM0-UNICON	3.89	4.18	100.	0.69	-0.20	0.89	100.	100.	100.	100.
UKESM1-0-LL	3.61	3.82	3.97	0.81	-0.12	0.93	0.80	1.05	-0.22	2.25
